Date,Close/Last,Volume,Open,High,Low
01/10/2020,$472.16,343,$471.5,$472.45,$468.74
01/09/2020,$473.5,22263,$471.15,$473.8,$470
01/08/2020,$469.5,855,$461.375,$469.65,$461
01/07/2020,$462.74,28723,$465.04,$465.04,$462
01/06/2020,$465,414,$461.85,$465.75,$459.8
01/03/2020,$467.91,1102,$465.1,$470.15,$464.15
01/02/2020,$471.02,770,$470,$471.22,$468.04
12/31/2019,$466.8,818,$466.745,$468.5,$462.65
12/30/2019,$463.85,895,$465.9,$467.25,$463.71
12/27/2019,$466.55,222,$465.2,$468.2,$464.89
12/26/2019,$461.15,248,$460,$461.17,$459
12/24/2019,$457.05,3185,$460,$460,$455.99
12/23/2019,$458.04,190,$458.4,$460,$457.29
12/20/2019,$455,184,$450.15,$455.99,$450.15
12/19/2019,$448.42,483,$447.85,$448.42,$444.7
12/18/2019,$447.26,753,$447.81,$447.919,$444.75
12/17/2019,$449.4,3837,$452.48,$452.48,$446.83
12/16/2019,$456.96,431,$458.33,$458.33,$454.05
12/13/2019,$449.96,2333,$450,$451,$448.33
12/12/2019,$447.22,354,$442.15,$447.71,$442
12/11/2019,$446.17,513,$439.6,$446.37,$438.5
12/10/2019,$442.1,306,$439.31,$442.1,$438.1
12/09/2019,$441,594,$443.15,$443.15,$441
12/06/2019,$444.11,199,$442.9,$444.15,$441
12/05/2019,$441.11,349,$444.25,$444.25,$440.52
12/04/2019,$440.5,8422,$440.27,$442.22,$438.88
12/03/2019,$437.62,3415,$432.05,$437.62,$428.95
12/02/2019,$442,6956,$446.45,$446.45,$438.68
11/29/2019,$447.75,5756,$449.75,$450.81,$445.44
11/27/2019,$451.89,2172,$450.54,$451.94,$448.35
11/26/2019,$451.45,1910,$450,$453,$448.2
11/25/2019,$448,3562,$442.2,$448,$440.1
11/22/2019,$438.5,451,$440,$441.5,$437.04
11/21/2019,$438,553,$437.875,$439.5,$436.54
11/20/2019,$435.71,373,$442.65,$443.3,$435.71
11/19/2019,$439.596,860,$442.23,$442.23,$438.03
11/18/2019,$445.684,2265,$445.11,$445.86,$443
11/15/2019,$448.1,919,$447.276,$449.4,$446.17
11/14/2019,$445.12,376,$443.55,$445.12,$441.35
11/13/2019,$444.82,232,$445,$445,$441
11/12/2019,$444.96,986,$446.05,$446.4,$443.69
11/11/2019,$447.74,1083,$444.05,$447.78,$443
11/08/2019,$445.7,718,$444.89,$446,$443.5
11/07/2019,$446,786,$446.9,$448,$445.63
11/06/2019,$444,848,$442,$444,$440.04
11/05/2019,$441.55,326,$441.35,$443.65,$441.35
11/04/2019,$441.4,999,$443.44,$444.22,$441.4
11/01/2019,$436,136,$432.61,$436,$432.61
10/31/2019,$428.37,264,$429.22,$429.56,$426.24
10/30/2019,$429.58,379,$426.4,$430.52,$425
10/29/2019,$423.71,482,$423.8,$424.93,$421.6
10/28/2019,$425.96,1986,$425.9,$428.19,$423.51
10/25/2019,$423.52,281,$424.113,$425.9,$423.49
10/24/2019,$416.28,282,$416.61,$424.5,$416.28
10/23/2019,$420,574,$414.35,$420,$414.35
10/22/2019,$416.4,410,$417.9,$419.8,$416.4
10/21/2019,$417.04,1106,$418,$420.38,$417
10/18/2019,$416.3,84,$418.95,$419.7,$415.9
10/17/2019,$419.71,344,$422.19,$422.19,$415.19
10/16/2019,$419.91,607,$416.95,$419.95,$416.95
10/15/2019,$422.85,191,$422,$423.14,$419.5
10/14/2019,$417.04,455,$415.85,$420,$415.7
10/11/2019,$415.85,223,$416.55,$418.35,$415.85
10/10/2019,$414,3794,$410.29,$414,$410.29
10/09/2019,$398.44,440,$387.35,$409.01,$387.35
10/08/2019,$386.34,1205,$386.75,$386.75,$383.11
10/07/2019,$389.5,57,$386.75,$389.5,$386.75
10/04/2019,$382.35,459,$383.9,$383.9,$381.5
10/03/2019,$380.255,3262,$383.1,$383.91,$379.04
10/02/2019,$378.25,744,$382.55,$382.55,$376.5
10/01/2019,$391.9,28,$394.4,$394.4,$391.76
09/30/2019,$398.59,92,$391.7,$398.59,$391.7
09/27/2019,$395.16,225,$392.66,$395.2,$392
09/26/2019,$395.04,615,$396,$397.06,$392.34
09/25/2019,$397.99,435,$399.2,$399.2,$394.2
09/24/2019,$404.13,39,$407.85,$407.85,$404.13
09/23/2019,$404.06,283,$401,$404.06,$400.75
09/20/2019,$407.06,659,$403.45,$407.06,$403.15
09/19/2019,$403.49,1523,$404,$406.2,$403.49
09/18/2019,$404.01,184,$403.35,$404.15,$401
09/17/2019,$410,275,$403.65,$410.06,$403.65
09/16/2019,$404.54,673,$406.475,$407.5,$404
09/13/2019,$421.47,1153,$422,$425,$421.47
09/12/2019,$419.35,706,$417.85,$420.81,$417.39
09/11/2019,$418.08,612,$414.15,$418.08,$411.9
09/10/2019,$410.61,542,$408.54,$413.48,$408.1
09/09/2019,$417.23,1326,$418.43,$419.8,$417.23
09/06/2019,$417.5,300,$418.79,$419.9,$417.5
09/05/2019,$413.78,275,$413.95,$416.51,$413.59
09/04/2019,$404.2,440,$404.05,$406.96,$403.53
09/03/2019,$388,137,$392.35,$392.35,$388
08/30/2019,$399.5,144,$403.05,$403.05,$397.04
08/29/2019,$399,115,$398.55,$400.65,$397.34
08/28/2019,$395.8,173,$391.03,$395.8,$391.03
08/27/2019,$396.29,117,$397.3,$399,$396.29
08/26/2019,$392.42,218,$394.84,$394.84,$390.73
08/23/2019,$396.58,198,$396.35,$401.35,$393.43
08/22/2019,$403.41,347,$405.1,$405.1,$398.45
08/21/2019,$409.57,323,$411.35,$411.35,$395
08/20/2019,$395,46,$394.4,$395.31,$392.36
08/19/2019,$393.9,98,$397.19,$397.19,$393.3
08/16/2019,$388.46,195,$382.35,$388.5,$382.35
08/15/2019,$380.7,240,$383.25,$386.55,$380.7
08/14/2019,$387.04,1051,$389.55,$392.13,$387
08/13/2019,$404.79,332,$393.75,$407.3,$392.47
08/12/2019,$400.04,821,$400.95,$401.13,$397.09
08/09/2019,$412,116,$410.98,$412,$409.2
08/08/2019,$410.98,233,$409.32,$413.5,$409.32
08/07/2019,$405.45,476,$399.7,$405.45,$397.86
08/06/2019,$394.96,715,$393.6,$397.34,$390.84
08/05/2019,$382.39,5382,$387.95,$388.6,$379.49
08/02/2019,$398,324,$405,$405.21,$397.76
08/01/2019,$409.72,254,$415.61,$419.85,$409.72
07/31/2019,$418,315,$418.695,$420.1,$409.5
07/30/2019,$416.51,446,$416.85,$418.22,$414.34
07/29/2019,$420.85,428,$423.05,$423.51,$419.81
07/26/2019,$429.26,355,$427.4,$429.3,$425.63
07/25/2019,$417.39,499,$423,$423,$416
07/24/2019,$433.61,559,$424,$436.5,$421.9
07/23/2019,$428.07,279,$428.79,$429.2,$426.65
07/22/2019,$431.944,1559,$431.25,$431.95,$429.15
